id,name,score1,score2
1,Student_1,79,87
2,Student_2,64,97
3,Student_3,91,94
4,Student_4,87,95
5,Student_5,92,91
6,Student_6,79,94
7,Student_7,59,96
8,Student_8,83,61
9,Student_9,63,52
10,Student_10,78,71
11,Student_11,78,96
12,Student_12,83,78
13,Student_13,62,88
14,Student_14,65,53
15,Student_15,87,99
16,Student_16,80,75
17,Student_17,83,55
18,Student_18,82,67
19,Student_19,93,89
20,Student_20,93,73
21,Student_21,75,62
22,Student_22,76,71
23,Student_23,75,98
24,Student_24,60,79
25,Student_25,61,65
26,Student_26,79,83
27,Student_27,70,61
28,Student_28,86,57
29,Student_29,55,77
30,Student_30,83,64
31,Student_31,71,66
32,Student_32,76,81
33,Student_33,70,86
34,Student_34,58,66
35,Student_35,99,99
36,Student_36,79,58
37,Student_37,95,88
38,Student_38,54,70
39,Student_39,71,61
40,Student_40,97,52
41,Student_41,87,79
42,Student_42,70,70
43,Student_43,90,58
44,Student_44,59,61
45,Student_45,69,96
46,Student_46,83,91
47,Student_47,85,87
48,Student_48,94,73
49,Student_49,77,62
50,Student_50,79,76
51,Student_51,74,74
52,Student_52,63,95
53,Student_53,84,67
54,Student_54,58,55
55,Student_55,99,62
56,Student_56,77,75
57,Student_57,89,60
58,Student_58,66,87
59,Student_59,60,56
60,Student_60,62,80
61,Student_61,95,50
62,Student_62,97,50
63,Student_63,56,50
64,Student_64,78,54
65,Student_65,55,89
66,Student_66,68,91
67,Student_67,53,72
68,Student_68,74,67
69,Student_69,74,77
70,Student_70,53,82
71,Student_71,83,55
72,Student_72,72,96
73,Student_73,98,81
74,Student_74,53,90
75,Student_75,86,53
76,Student_76,79,67
77,Student_77,67,62
78,Student_78,67,71
79,Student_79,62,72
80,Student_80,90,79
81,Student_81,88,69
82,Student_82,66,94
83,Student_83,99,63
84,Student_84,56,71
85,Student_85,79,50
86,Student_86,84,80
87,Student_87,99,80
88,Student_88,65,76
89,Student_89,82,60
90,Student_90,69,86
91,Student_91,75,58
92,Student_92,67,85
93,Student_93,87,54
94,Student_94,94,88
95,Student_95,72,97
96,Student_96,55,57
97,Student_97,75,81
98,Student_98,79,64
99,Student_99,82,71
100,Student_100,62,56
101,Student_101,93,55
102,Student_102,70,91
103,Student_103,60,97
104,Student_104,82,96
105,Student_105,97,71
106,Student_106,80,65
107,Student_107,90,88
108,Student_108,97,94
109,Student_109,69,53
110,Student_110,99,88
111,Student_111,62,85
112,Student_112,99,92
113,Student_113,57,82
114,Student_114,79,100
115,Student_115,98,88
116,Student_116,57,89
117,Student_117,61,70
118,Student_118,71,52
119,Student_119,93,95
120,Student_120,99,88
121,Student_121,53,72
122,Student_122,93,61
123,Student_123,67,80
124,Student_124,74,52
125,Student_125,54,86
126,Student_126,53,57
127,Student_127,99,67
128,Student_128,100,51
129,Student_129,90,61
130,Student_130,82,50
131,Student_131,99,96
132,Student_132,91,60
133,Student_133,66,63
134,Student_134,74,87
135,Student_135,79,83
136,Student_136,77,94
137,Student_137,89,74
138,Student_138,100,94
139,Student_139,57,99
140,Student_140,80,68
141,Student_141,71,69
142,Student_142,96,78
143,Student_143,73,62
144,Student_144,89,75
145,Student_145,90,58
146,Student_146,79,75
147,Student_147,92,75
148,Student_148,52,88
149,Student_149,60,51
150,Student_150,63,94
151,Student_151,66,61
152,Student_152,73,91
153,Student_153,78,73
154,Student_154,50,74
155,Student_155,77,94
156,Student_156,74,82
157,Student_157,75,72
158,Student_158,94,67
159,Student_159,67,70
160,Student_160,77,97
161,Student_161,62,55
162,Student_162,67,88
163,Student_163,89,53
164,Student_164,64,94
165,Student_165,91,68
166,Student_166,61,73
167,Student_167,70,56
168,Student_168,95,50
169,Student_169,87,56
170,Student_170,50,100
171,Student_171,92,100
172,Student_172,81,82
173,Student_173,95,64
174,Student_174,90,81
175,Student_175,68,90
176,Student_176,69,89
177,Student_177,96,89
178,Student_178,79,96
179,Student_179,94,88
180,Student_180,96,88
181,Student_181,75,75
182,Student_182,78,94
183,Student_183,58,50
184,Student_184,56,79
185,Student_185,87,76
186,Student_186,91,61
187,Student_187,67,90
188,Student_188,87,67
189,Student_189,90,80
190,Student_190,76,75
191,Student_191,63,99
192,Student_192,60,66
193,Student_193,98,69
194,Student_194,77,87
195,Student_195,61,88
196,Student_196,89,52
197,Student_197,66,81
198,Student_198,81,94
199,Student_199,62,85
200,Student_200,71,90
201,Student_201,92,54
202,Student_202,87,50
203,Student_203,74,100
204,Student_204,70,56
205,Student_205,92,73
206,Student_206,53,90
207,Student_207,95,95
208,Student_208,50,53
209,Student_209,100,90
210,Student_210,50,59
211,Student_211,99,62
212,Student_212,86,66
213,Student_213,81,55
214,Student_214,86,75
215,Student_215,79,82
216,Student_216,76,73
217,Student_217,82,99
218,Student_218,51,84
219,Student_219,75,99
220,Student_220,68,68
221,Student_221,62,50
222,Student_222,92,60
223,Student_223,91,61
224,Student_224,96,73
225,Student_225,88,86
226,Student_226,55,59
227,Student_227,68,54
228,Student_228,58,97
229,Student_229,70,80
230,Student_230,60,99
231,Student_231,88,58
232,Student_232,95,81
233,Student_233,58,93
234,Student_234,50,57
235,Student_235,68,92
236,Student_236,77,58
237,Student_237,67,82
238,Student_238,82,57
239,Student_239,92,59
240,Student_240,76,50
241,Student_241,98,71
242,Student_242,52,86
243,Student_243,72,72
244,Student_244,61,95
245,Student_245,57,52
246,Student_246,84,85
247,Student_247,95,79
248,Student_248,98,69
249,Student_249,91,88
250,Student_250,52,73
251,Student_251,51,93
252,Student_252,95,51
253,Student_253,86,90
254,Student_254,86,96
255,Student_255,54,56
256,Student_256,87,92
257,Student_257,52,70
258,Student_258,58,72
259,Student_259,98,81
260,Student_260,59,50
261,Student_261,90,100
262,Student_262,53,87
263,Student_263,57,90
264,Student_264,55,64
265,Student_265,73,87
266,Student_266,88,82
267,Student_267,93,67
268,Student_268,58,75
269,Student_269,58,86
270,Student_270,75,67
271,Student_271,89,89
272,Student_272,52,90
273,Student_273,72,95
274,Student_274,82,97
275,Student_275,89,86
276,Student_276,90,89
277,Student_277,83,83
278,Student_278,88,53
279,Student_279,90,83
280,Student_280,70,99
281,Student_281,64,62
282,Student_282,57,66
283,Student_283,64,61
284,Student_284,88,53
285,Student_285,61,87
286,Student_286,63,63
287,Student_287,85,63
288,Student_288,75,88
289,Student_289,95,58
290,Student_290,67,90
291,Student_291,98,95
292,Student_292,55,98
293,Student_293,72,100
294,Student_294,57,86
295,Student_295,52,68
296,Student_296,56,77
297,Student_297,70,81
298,Student_298,67,71
299,Student_299,92,90
300,Student_300,75,71
301,Student_301,85,53
302,Student_302,74,73
303,Student_303,89,66
304,Student_304,81,55
305,Student_305,54,79
306,Student_306,72,71
307,Student_307,74,57
308,Student_308,60,71
309,Student_309,100,81
310,Student_310,81,61
311,Student_311,55,63
312,Student_312,92,73
313,Student_313,97,70
314,Student_314,97,61
315,Student_315,53,56
316,Student_316,56,51
317,Student_317,55,91
318,Student_318,99,85
319,Student_319,71,80
320,Student_320,56,54
321,Student_321,65,65
322,Student_322,71,76
323,Student_323,64,65
324,Student_324,68,86
325,Student_325,99,62
326,Student_326,76,90
327,Student_327,69,70
328,Student_328,54,70
329,Student_329,96,69
330,Student_330,64,91
331,Student_331,61,89
332,Student_332,50,94
333,Student_333,84,59
334,Student_334,97,99
335,Student_335,77,88
336,Student_336,83,58
337,Student_337,73,100
338,Student_338,52,86
339,Student_339,78,94
340,Student_340,87,82
341,Student_341,60,90
342,Student_342,88,56
343,Student_343,96,74
344,Student_344,100,83
345,Student_345,96,57
346,Student_346,100,76
347,Student_347,51,94
348,Student_348,66,63
349,Student_349,85,85
350,Student_350,98,60
351,Student_351,73,58
352,Student_352,67,83
353,Student_353,70,92
354,Student_354,61,59
355,Student_355,99,65
356,Student_356,78,60
357,Student_357,55,67
358,Student_358,83,81
359,Student_359,66,91
360,Student_360,65,92
361,Student_361,56,54
362,Student_362,64,82
363,Student_363,99,84
364,Student_364,77,82
365,Student_365,62,82
366,Student_366,72,73
367,Student_367,83,89
368,Student_368,51,80
369,Student_369,99,56
370,Student_370,94,52
371,Student_371,85,50
372,Student_372,88,74
373,Student_373,72,78
374,Student_374,82,84
375,Student_375,90,82
376,Student_376,50,90
377,Student_377,73,99
378,Student_378,97,50
379,Student_379,71,93
380,Student_380,91,67
381,Student_381,50,91
382,Student_382,59,56
383,Student_383,70,84
384,Student_384,100,97
385,Student_385,99,88
386,Student_386,100,90
387,Student_387,64,99
388,Student_388,63,96
389,Student_389,67,58
390,Student_390,84,99
391,Student_391,55,62
392,Student_392,57,52
393,Student_393,55,82
394,Student_394,92,82
395,Student_395,73,68
396,Student_396,68,96
397,Student_397,53,72
398,Student_398,81,56
399,Student_399,50,95
400,Student_400,91,60
401,Student_401,70,51
402,Student_402,60,85
403,Student_403,61,68
404,Student_404,97,56
405,Student_405,99,68
406,Student_406,72,60
407,Student_407,90,97
408,Student_408,88,91
409,Student_409,56,69
410,Student_410,53,55
411,Student_411,84,78
412,Student_412,50,71
413,Student_413,72,55
414,Student_414,100,52
415,Student_415,79,100
416,Student_416,79,77
417,Student_417,74,61
418,Student_418,86,75
419,Student_419,65,91
420,Student_420,55,51
421,Student_421,74,82
422,Student_422,53,50
423,Student_423,67,82
424,Student_424,54,88
425,Student_425,82,79
426,Student_426,96,72
427,Student_427,71,65
428,Student_428,98,51
429,Student_429,76,89
430,Student_430,61,100
431,Student_431,67,50
432,Student_432,96,97
433,Student_433,62,63
434,Student_434,59,68
435,Student_435,98,85
436,Student_436,88,90
437,Student_437,90,77
438,Student_438,83,88
439,Student_439,89,56
440,Student_440,86,72
441,Student_441,81,59
442,Student_442,60,51
443,Student_443,76,88
444,Student_444,62,97
445,Student_445,78,98
446,Student_446,89,69
447,Student_447,80,62
448,Student_448,83,52
449,Student_449,100,77
450,Student_450,74,67
451,Student_451,66,64
452,Student_452,94,92
453,Student_453,61,98
454,Student_454,62,73
455,Student_455,56,75
456,Student_456,79,60
457,Student_457,59,66
458,Student_458,50,70
459,Student_459,57,77
460,Student_460,67,54
461,Student_461,50,63
462,Student_462,53,64
463,Student_463,52,93
464,Student_464,58,96
465,Student_465,62,77
466,Student_466,95,70
467,Student_467,63,63
468,Student_468,50,80
469,Student_469,80,54
470,Student_470,60,55
471,Student_471,93,73
472,Student_472,82,91
473,Student_473,62,73
474,Student_474,68,83
475,Student_475,99,89
476,Student_476,64,85
477,Student_477,100,86
478,Student_478,82,63
479,Student_479,79,83
480,Student_480,52,75
481,Student_481,96,59
482,Student_482,82,77
483,Student_483,94,78
